SECURITY_ID,INSTRUMENT,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE
40780,OPTIDX,NIFTY,NIFTY-Aug2026-20300-PE,NIFTY 11 AUG 20300 PUT,65.0,2026-08-11,20300.0,PE
40781,OPTIDX,NIFTY,NIFTY-Aug2026-20350-CE,NIFTY 11 AUG 20350 CALL,65.0,2026-08-11,20350.0,CE
40782,OPTIDX,NIFTY,NIFTY-Aug2026-20350-PE,NIFTY 11 AUG 20350 PUT,65.0,2026-08-11,20350.0,PE
40783,OPTIDX,NIFTY,NIFTY-Aug2026-20400-CE,NIFTY 11 AUG 20400 CALL,65.0,2026-08-11,20400.0,CE
40784,OPTIDX,NIFTY,NIFTY-Aug2026-20400-PE,NIFTY 11 AUG 20400 PUT,65.0,2026-08-11,20400.0,PE
40785,OPTIDX,NIFTY,NIFTY-Aug2026-20450-CE,NIFTY 11 AUG 20450 CALL,65.0,2026-08-11,20450.0,CE
40787,OPTIDX,NIFTY,NIFTY-Aug2026-20450-PE,NIFTY 11 AUG 20450 PUT,65.0,2026-08-11,20450.0,PE
40788,OPTIDX,NIFTY,NIFTY-Aug2026-20500-CE,NIFTY 11 AUG 20500 CALL,65.0,2026-08-11,20500.0,CE
40789,OPTIDX,NIFTY,NIFTY-Aug2026-20500-PE,NIFTY 11 AUG 20500 PUT,65.0,2026-08-11,20500.0,PE
40790,OPTIDX,NIFTY,NIFTY-Aug2026-20550-CE,NIFTY 11 AUG 20550 CALL,65.0,2026-08-11,20550.0,CE
40791,OPTIDX,NIFTY,NIFTY-Aug2026-20550-PE,NIFTY 11 AUG 20550 PUT,65.0,2026-08-11,20550.0,PE
40792,OPTIDX,NIFTY,NIFTY-Aug2026-20600-CE,NIFTY 11 AUG 20600 CALL,65.0,2026-08-11,20600.0,CE
40794,OPTIDX,NIFTY,NIFTY-Aug2026-20600-PE,NIFTY 11 AUG 20600 PUT,65.0,2026-08-11,20600.0,PE
40795,OPTIDX,NIFTY,NIFTY-Aug2026-20650-CE,NIFTY 11 AUG 20650 CALL,65.0,2026-08-11,20650.0,CE
40796,OPTIDX,NIFTY,NIFTY-Aug2026-20650-PE,NIFTY 11 AUG 20650 PUT,65.0,2026-08-11,20650.0,PE
40797,OPTIDX,NIFTY,NIFTY-Aug2026-20700-CE,NIFTY 11 AUG 20700 CALL,65.0,2026-08-11,20700.0,CE
40798,OPTIDX,NIFTY,NIFTY-Aug2026-20700-PE,NIFTY 11 AUG 20700 PUT,65.0,2026-08-11,20700.0,PE
40799,OPTIDX,NIFTY,NIFTY-Aug2026-20750-CE,NIFTY 11 AUG 20750 CALL,65.0,2026-08-11,20750.0,CE
40800,OPTIDX,NIFTY,NIFTY-Aug2026-20750-PE,NIFTY 11 AUG 20750 PUT,65.0,2026-08-11,20750.0,PE
40801,OPTIDX,NIFTY,NIFTY-Aug2026-20800-CE,NIFTY 11 AUG 20800 CALL,65.0,2026-08-11,20800.0,CE
40802,OPTIDX,NIFTY,NIFTY-Aug2026-20800-PE,NIFTY 11 AUG 20800 PUT,65.0,2026-08-11,20800.0,PE
40803,OPTIDX,NIFTY,NIFTY-Aug2026-20850-CE,NIFTY 11 AUG 20850 CALL,65.0,2026-08-11,20850.0,CE
40804,OPTIDX,NIFTY,NIFTY-Aug2026-20850-PE,NIFTY 11 AUG 20850 PUT,65.0,2026-08-11,20850.0,PE
40805,OPTIDX,NIFTY,NIFTY-Aug2026-20900-CE,NIFTY 11 AUG 20900 CALL,65.0,2026-08-11,20900.0,CE
40806,OPTIDX,NIFTY,NIFTY-Aug2026-20900-PE,NIFTY 11 AUG 20900 PUT,65.0,2026-08-11,20900.0,PE
